Order,Type,Source,Value,DevOps,PlatformEng,SysEng,
30,Accomplishment,NFL,"Created API-based solution for ingesting ISP circuit maintenance schedules, replacing legacy solution which used COM and EWS to read and parse emails.",YES,NO,NO,
40,Accomplishment,RFA,"Architect procedure to deploy a Remote Monitoring and Management solution, requiring migration from existing platform with zero downtime for 200+ global customers with 10,000 endpoints.",YES,YES,NO,
50,Accomplishment,NFL,"Designed and coded a utility to report on static DNS configurations, calculate changes based on proprietary rules, made changes maintaining an undo command per endpoint, and visualized progress on an internal website and daily status email.",YES,NO,YES,
60,Accomplishment,NFL,"Rewrote 200 production jobs and migrated to dedicated server, using least-privilege service accounts where possible.",YES,NO,YES,
70,Accomplishment,RFA,"Developed toolset and scripts to ingest data from CRM/PSA/RMM platforms, automating email notifications in a scalable way, saving 15-20 man-hours weekly.",YES,YES,NO,
80,Accomplishment,NFL,"Streamlined legacy codebase logic, reducing resource overhead on shared server, eliminating daily reboots.",YES,NO,NO,
90,Accomplishment,RFA,"Engineered MS 365 and Windows 10 version QA integrations for RMM using PowerShell and SQL, creating a web scraper for real time version info where no API was available.",YES,NO,NO,
100,Accomplishment,RFA,"Developed a script which gathers information on new Active Directory users across 200+ domains, generating new business revenue of $80-100k per month.",YES,YES,YES,
110,Accomplishment,RFA,"Automated weekly operations workflows and quality checks to create more time on our team for project tasks.",YES,NO,YES,
120,Accomplishment,RFA,"Engineered workaround for RMM agent ID sharing bug, ensuring personally identifiable information is kept private.",YES,YES,NO,
130,Accomplishment,RFA,"Designed an automated workflow which ensures given recipients, defined in CRM for subscribed clients, are members of an Active Directory distribution group, and that RMM reports are configured for delivery to those distribution groups.",YES,YES,YES,
140,Accomplishment,NFL,"Developed a QA script that collects inventory globally from private cloud VMWare resources and compares against a production management platform.",YES,NO,YES,
150,Accomplishment,RFA,"Developed script which monitors OneDrive Sync and alerts on failure providing user and path.",NO,YES,NO,
160,Accomplishment,RFA,"Team leader of a department with revenue measured in millions.",YES,YES,YES,
10,Work History,NFL~DevOps Engineer~May 2021 - Present,"Designs and maintains production code used in orchestration of systems and process automation, monitoring, and reporting solutions.",YES,YES,NO,
20,Work History,NFL~DevOps Engineer~May 2021 - Present,"Advancing use of test/development environments and version control.",YES,YES,YES,
30,Work History,NFL~DevOps Engineer~May 2021 - Present,"Leveraged AI/GPT tools to accelerate development of solutions, without disclosing proprietary information.",YES,YES,YES,
40,Work History,NFL~DevOps Engineer~May 2021 - Present,"Authored functional modules for migration from existing, unstructured codebase.",YES,YES,NO,
41,Work History,NFL~DevOps Engineer~May 2021 - Present,"    Password manager integration with tools to aid in script development.",YES,YES,NO,
42,Work History,NFL~DevOps Engineer~May 2021 - Present,"    Various SaaS solution for endpoint compliance.",YES,YES,NO,
43,Work History,NFL~DevOps Engineer~May 2021 - Present,"    Developer metrics from Git, Azure, and automated job schedules.",YES,YES,NO,
50,Work History,NFL~DevOps Engineer~May 2021 - Present,"Overseeing all team projects to advance automation for IT Operations. ",YES,YES,YES,
51,Work History,NFL~DevOps Engineer~May 2021 - Present,"    Automatically provision new servers based on existing ServiceNow change request form.",YES,YES,YES,
52,Work History,NFL~DevOps Engineer~May 2021 - Present,"    Retool several text parser scripts to leverage vendor APIs, inbound and outbound.",YES,NO,NO,
53,Work History,NFL~DevOps Engineer~May 2021 - Present,"        ISP circuit maintenance schedules",YES,NO,NO,
54,Work History,NFL~DevOps Engineer~May 2021 - Present,"        In-House statistics database",YES,NO,NO,
55,Work History,NFL~DevOps Engineer~May 2021 - Present,"        Automated event readiness checks",YES,NO,NO,
56,Work History,NFL~DevOps Engineer~May 2021 - Present,"    Design hybrid infrastructure for modern task execution, web forms, data collection, and reporting.",YES,YES,NO,
60,Work History,NFL~DevOps Engineer~May 2021 - Present,"Designed solutions for SaaS services outage notifications for executives.",YES,YES,NO,
70,Work History,NFL~DevOps Engineer~May 2021 - Present,"Implementing new dashboard platform for IT admins and management, integrated with team website.",YES,YES,NO,
80,Work History,NFL~DevOps Engineer~May 2021 - Present,"Collaborated with statistics team to design database QA solution.",YES,YES,NO,
90,Work History,NFL~DevOps Engineer~May 2021 - Present,"Streamlining test procedures for production scripts.",YES,NO,YES,
100,Work History,NFL~DevOps Engineer~May 2021 - Present,"Streamlining user offboarding to reduce manual effort required to discover all resources.",YES,NO,YES,
110,Work History,NFL~DevOps Engineer~May 2021 - Present,"Participating in code reviews.",YES,NO,NO,
10,Work History,RFA~Sr. Automation Engineer~July 2018 - May 2021,"Maintain infrastructure of remote access (ScreenConnect) and management (Solarwinds and LabTech) platforms.",YES,YES,YES,
20,Work History,RFA~Sr. Automation Engineer~July 2018 - May 2021,"Design and maintain custom PowerShell codebase and design solutions for internal and external stakeholders including reporting, deployments, remediation, and configurations.",YES,YES,YES,
30,Work History,RFA~Sr. Automation Engineer~July 2018 - May 2021,"Transform operational workflows into code, presenting bespoke automated emails with HTML elements.",YES,YES,YES,
40,Work History,RFA~Sr. Automation Engineer~July 2018 - May 2021,"Design procedures and automated solutions for Quality Assurance of configurations and deliveries.",YES,YES,YES,
50,Work History,RFA~Sr. Automation Engineer~July 2018 - May 2021,"Subject Matter Expert on PowerShell, collaborate with DevOps Engineer and others on best practices, syntax, logic, pipelines, modular function design, including Azure and PowerShell Desired State Configuration.",YES,YES,YES,
60,Work History,RFA~Sr. Automation Engineer~July 2018 - May 2021,"Deploy custom data collection and aggregation across disparate networks and systems.",YES,YES,NO,
70,Work History,RFA~Sr. Automation Engineer~July 2018 - May 2021,"Design service agent repair solutions based on system metrics and logs parsed into machine-readable data.",YES,NO,YES,
80,Work History,RFA~Sr. Automation Engineer~July 2018 - May 2021,"Spearhead design of scalable software deployment procedures and templates.",YES,YES,YES,
10,Work History,RFA~Applications Systems Administrator~April 2015 - June 2018,"Designed management solution for workstation maintenance by leveraging under-utilized features.",YES,YES,YES,
20,Work History,RFA~Applications Systems Administrator~April 2015 - June 2018,"Built PowerShell solutions for custom interoperability between various platforms:",YES,YES,NO,
30,Work History,RFA~Applications Systems Administrator~April 2015 - June 2018,"    A scripted solution to aggregate daily backup reports from several different solutions.",YES,YES,NO,
40,Work History,RFA~Applications Systems Administrator~April 2015 - June 2018,"    An app for non-technical staff that exports custom reports from the Solarwinds database.",YES,YES,NO,
50,Work History,RFA~Applications Systems Administrator~April 2015 - June 2018,"    Leveraged Selenium for automating a tedious web task, for which no APIs were available.",YES,YES,NO,
60,Work History,RFA~Applications Systems Administrator~April 2015 - June 2018,"Designed and implemented new policies for client on-/off-boarding, delivery of services.",YES,NO,YES,
70,Work History,RFA~Applications Systems Administrator~April 2015 - June 2018,"Performed non-intrusive workstation diagnostics using command line interfaces over WinRM/SSH.",YES,NO,YES,
80,Work History,RFA~Applications Systems Administrator~April 2015 - June 2018,"Designed operational workflows for internal, day-to-day processes.",YES,YES,YES,
90,Work History,RFA~Applications Systems Administrator~April 2015 - June 2018,"Championed documentation of workflows to facilitate incremental improvement by automation.",YES,YES,YES,
10,Work History,RFA~Senior Field Technician~April 2012 - April 2015,"Hired to support the newly created office for the investment’s division of a Fortune 200 company.",YES,YES,YES,
20,Work History,RFA~Senior Field Technician~April 2012 - April 2015,"    Acted as a liaison between HQ and investment office staff, executives, managers, traders, and vendors.",NO,YES,YES,
30,Work History,RFA~Senior Field Technician~April 2012 - April 2015,"    Created procedures for on-boarding c-suite team, directors, managers, staff, and other vendors.",NO,YES,YES,
40,Work History,RFA~Senior Field Technician~April 2012 - April 2015,"    Worked with HQ and/or vendors to coordinate on telepresence, trading desk telephony, server and desktop support projects.",NO,YES,YES,
50,Work History,RFA~Senior Field Technician~April 2012 - April 2015,"    Authored documents for inventory of computers, printers, phone lines, and server and IT facility runbooks.",NO,YES,YES,
60,Work History,RFA~Senior Field Technician~April 2012 - April 2015,"Assigned to other high-value clients after demonstrating excellent client-service aptitude.",YES,YES,YES,
10,Work History,DCI~Senior Engineer/Field Technician~October 2006 - April 2012,"Handled service requests via phone, remote access, and on-site visits.",YES,YES,YES,
20,Work History,DCI~Senior Engineer/Field Technician~October 2006 - April 2012,"Handled service escalations, trained and supervised new hires.",NO,NO,YES,
30,Work History,DCI~Senior Engineer/Field Technician~October 2006 - April 2012,"Performed changes to SonicWALL filter rules and VPN tunnels.",YES,NO,YES,
40,Work History,DCI~Senior Engineer/Field Technician~October 2006 - April 2012,"Maintained network systems and client documentation.",YES,YES,YES,
50,Work History,DCI~Senior Engineer/Field Technician~October 2006 - April 2012,"Worked with chief officers, management, staff, and vendors.",NO,YES,YES,
10,Work History,CKP~Service Technician~June 2005 - October 2006,"Maintained Microsoft OS versions, AutoCAD, and large-format printers.",YES,YES,YES,
20,Work History,CKP~Service Technician~June 2005 - October 2006,"Handled requests from C-suite, architects, and administrative staff.",YES,YES,YES,
